id,data,date,user_id,sentiment_class,Negative,Neutral,Positive
136,They would have to go to the hospital.,2022-07-02 12:09:19,8,Neutral,0.0050678784,0.08931815,0.90561396
137,Not have angry outburst and try to remain calm and not overreact. ,2022-01-08 08:04:18,8,Neutral,0.58861375,0.33973005,0.07165625
138,nothing,2021-10-01 21:04:21,8,Neutral,0.8524159,0.13512193,0.012462197
139,Being misinterpreted. ,2021-12-12 05:03:45,8,Neutral,0.67749065,0.310916,0.011593322
140,rejected,2022-05-02 23:47:21,8,Neutral,0.5369238,0.43937397,0.023702266
141,Mad,2021-09-12 04:56:19,8,Neutral,0.40083146,0.5566427,0.04252584
142,Scared,2022-08-13 22:10:52,8,Neutral,0.8917132,0.09773677,0.010550063
143,disappointment,2022-05-15 17:29:07,8,Neutral,0.8802646,0.113292955,0.0064424565
144,"Ignore him and do what I was already going to do, namely finish the work. ",2021-11-04 13:54:18,8,Neutral,0.9662389,0.031451758,0.0023092958
145,we won't be together anymore. ,2022-05-22 04:44:34,8,Neutral,0.08439178,0.82033604,0.09527213
146,I'm trying to find a job but others are getting hired.,2021-11-06 02:52:49,8,Neutral,0.079400845,0.81778574,0.102813445
147,They don't want to acknowledge me in public.,2022-01-12 23:38:48,8,Neutral,0.734619,0.23595099,0.029430011
148,Why does he need he think he needs to remind me?,2022-05-15 13:04:10,8,Neutral,0.69923574,0.27781022,0.022954106
149,It's just a little embarrassing when confuse someone or mess up a greeting. ,2022-02-02 13:37:56,8,Neutral,0.053580794,0.65113413,0.2952851
150,disappointed,2022-08-23 06:15:06,8,Neutral,0.9027742,0.08825564,0.00897013
151,I would perform better ,2021-09-30 09:03:52,8,Neutral,0.97412044,0.022525387,0.0033541434
152,"If I lose my job, I could fall into severe poverty",2022-05-15 11:19:00,8,Neutral,0.91,0.08548286,0.0045171585
153,I am stupid and not smart.,2021-11-03 10:07:46,8,Neutral,0.9691776,0.028160805,0.0026615502
154,I would be reprimanded for not completing essay task,2021-12-10 08:51:16,8,Neutral,0.41283038,0.53780955,0.049360063
155,anxious,2021-09-05 09:19:47,8,Neutral,0.9518942,0.044740994,0.0033647553
156,My acquaintance didn't acknowledge or respond to me after I waved to him,2021-11-01 18:27:36,8,Neutral,0.059220813,0.87558824,0.065191
157,"I'm going to be unhealthy, sick, and feeble in the future",2021-09-04 22:58:18,8,Neutral,0.78680354,0.18408808,0.029108442
158,I would try to at least talk to them and ask what I've been doing or not doing.,2022-06-23 13:37:29,8,Neutral,0.9226126,0.073100574,0.004286866
159,I might not be able to make friends,2022-08-10 20:17:26,8,Neutral,0.8843867,0.10916019,0.0064531183
160,that I was not cut out to be a car salesman,2022-02-16 23:59:12,8,Neutral,0.7134477,0.26281205,0.023740256
161,angry,2021-11-20 05:13:46,8,Neutral,0.7756918,0.2097017,0.014606549
162,I pissed her off,2022-04-19 15:14:04,8,Neutral,0.8419006,0.14321719,0.014882275
163,She would have to go to the vet.,2022-01-29 01:36:44,8,Neutral,0.95567477,0.041874718,0.0024505444
164,Depressed,2022-03-28 19:56:29,8,Neutral,0.90812033,0.08201647,0.009863223
165,sadness,2022-05-20 19:03:33,8,Neutral,0.89263755,0.10193008,0.0054324083
166,That I am not priotizing my time well.,2022-03-17 01:10:21,8,Neutral,0.4958518,0.40620875,0.097939454
167,I would feel isolated and depressed,2021-10-29 23:57:04,8,Neutral,0.7640458,0.22318372,0.01277047
168,Everything I invested in the relationship would be for nothing,2022-01-17 15:52:43,8,Neutral,0.9555208,0.042387556,0.002091665
169,I will continue being unemployed and not have a lot of money,2021-11-01 14:09:13,8,Neutral,0.55854726,0.38378233,0.057670407
170,Try to get myself together and move on.,2021-10-22 19:46:53,8,Neutral,0.07298928,0.6722221,0.2547886
171,disappointed,2021-10-05 03:30:25,8,Neutral,0.6481601,0.32929838,0.022541529
172,I wouldn't do anything.,2022-07-02 21:26:22,8,Neutral,0.83278334,0.15324365,0.013972995
173,Gotten into an argument with roommate over bad habits.,2022-01-23 10:52:05,8,Neutral,0.7770553,0.20916313,0.01378151
174,I'm not as good a writer as I thought I was,2022-03-11 10:41:47,8,Neutral,0.6731479,0.31202927,0.014822752
175,I'd keep applying for any and every job available.,2021-09-29 12:20:53,8,Neutral,0.7283445,0.22596292,0.045692593
176,I would stop trying to get the acquaintance's attention ,2022-05-08 02:15:32,8,Neutral,0.55243623,0.4287599,0.018803835
177,It would mean that i'm wasting the companies time and resources,2021-10-14 13:50:20,8,Neutral,0.77963644,0.20395216,0.016411446
178,The thought of just feeling bad for my cousins as they lost their mother a couple of years ago.,2022-06-02 20:37:00,8,Neutral,0.5190399,0.4416281,0.03933194
179,I would take a break and calm down and come back to the task later refreshed.,2022-08-12 04:02:58,8,Neutral,0.593059,0.37307325,0.033867713
180,frustration,2021-10-05 19:31:46,8,Neutral,0.4778212,0.47941643,0.04276231
181,An friend does not return my gester,2022-03-31 03:17:27,8,Neutral,0.8276106,0.16644366,0.0059458106
182,angry,2022-01-14 23:21:19,8,Neutral,0.91202915,0.082823575,0.00514725
183,upset,2022-02-23 09:02:17,8,Neutral,0.021969972,0.41176173,0.5662683
184,I invited a coworker out with me,2022-07-03 18:51:26,8,Neutral,0.69702226,0.2779443,0.025033392
185,They didn't value me as a coworker.,2021-11-22 06:59:01,8,Neutral,0.6399727,0.3158305,0.044196833
186,He thinks I am forgetful,2022-07-15 16:59:42,8,Neutral,0.7669102,0.211503,0.021586722
187,I don't know what I'm doing.,2022-01-15 14:58:51,8,Neutral,0.13771023,0.30082944,0.5614603
188,I wouldn't have another job and would need to quickly find something to pay my bills.,2021-09-25 11:27:36,8,Neutral,0.43109554,0.5494383,0.019466093
189,I would feel bad for myself when I wasted an opportunity.,2022-01-16 12:37:13,8,Neutral,0.3363996,0.6115509,0.052049413
190,I was passed over again for a job,2022-05-15 15:05:14,8,Neutral,0.83248603,0.1545645,0.012949396
191,Indifferent,2021-12-29 05:05:40,8,Neutral,0.88587993,0.10854708,0.00557295
192,"I come home to find my partner has moved out, and doesn't want to try to work things out.",2022-08-25 01:19:22,8,Neutral,0.92190164,0.0723529,0.0057454375
193,My sister tried to commit suicide whilst at middle school,2022-07-02 05:11:36,8,Neutral,0.73845696,0.23198274,0.029560342
194,It would bother me that she didn't even feel like we could work it out.,2022-04-27 21:13:34,8,Neutral,0.01289486,0.630317,0.35678816
195,"I would feel like a failure because I had been fired, regardless of the reasoning behind it. ",2022-07-12 23:02:43,8,Neutral,0.15517657,0.641526,0.2032975
196,I might have to go into debt if there's another emergency expenditure.,2022-07-25 01:58:19,8,Neutral,0.91879886,0.07408911,0.0071119387
197,we don't manage our finances very well,2022-02-12 13:35:17,8,Neutral,0.7658094,0.194679,0.039511666
198,apologize and find time to visit them,2022-01-28 06:27:46,8,Neutral,0.81501496,0.17926396,0.0057211486
199,Even when I'm right he tries to deny it.,2021-10-17 05:52:53,8,Neutral,0.6438399,0.33255163,0.023608515
200,Ask for more training,2022-06-16 20:34:42,8,Neutral,0.89367926,0.1010604,0.005260367
201,I would feel like I failed.,2021-10-26 23:41:21,8,Neutral,0.9305814,0.062032558,0.007385934
202,I am thinking about how I will never see her again,2022-07-30 02:32:12,8,Neutral,0.94914156,0.04719898,0.0036594984
203,I'm not doing a good enough job,2022-08-09 09:39:09,8,Neutral,0.004215373,0.1451556,0.8506291
204,A person I know didn't recognize me.,2021-11-13 11:06:39,8,Neutral,0.20997795,0.72152126,0.068500854
205,I would become a hermit.,2022-07-06 02:59:02,8,Neutral,0.5977955,0.3667556,0.035448875
206,Anger,2022-01-17 16:29:55,8,Neutral,0.92326015,0.071966,0.0047737784
207,They didn't want to speak with me.,2022-03-04 21:21:53,8,Neutral,0.83888423,0.14485238,0.01626347
208,I will hate myself,2021-12-03 22:13:25,8,Neutral,0.046686348,0.8906011,0.06271251
209,I disappointing my family by postponing a meeting with them because I'm busy,2021-10-31 06:13:52,8,Neutral,0.51294035,0.43144757,0.055612158
210,Apologize for reacting inapproriately,2022-06-02 09:48:26,8,Neutral,0.65781635,0.30875486,0.0334288
211,Nothing I do is ever good enough.,2022-05-22 07:50:43,8,Neutral,0.68764967,0.29857886,0.013771472
212,I can not find a job.,2022-08-06 22:00:20,8,Neutral,0.21700233,0.71208525,0.070912376
213,I have started an essay and have not been able to make any progress in 2 hours.  ,2022-04-20 18:10:16,8,Neutral,0.91235363,0.08346832,0.0041780532
214,"I went to a party where I only knew one person, the one hosting. I tried to chat with other people but it didn't go well and they weren't very responsive. ",2022-04-10 14:38:05,8,Neutral,0.6893045,0.2964718,0.014223692
215,I am desparate for love,2021-09-10 00:29:04,8,Neutral,0.415411,0.5072345,0.0773545
216,I am incompetent and incapable of keeping a job.,2022-04-19 15:53:29,8,Neutral,0.004956116,0.2806522,0.71439165
217,relieved,2022-08-20 04:15:05,8,Neutral,0.15296257,0.7201839,0.12685348
218,it might say i do not work hard enough,2021-12-07 00:00:10,8,Neutral,0.9242415,0.071683,0.0040755086
219,no,2022-08-11 06:13:04,8,Neutral,0.40200952,0.5520636,0.045926936
220,It would mean that my own priorities are hurtful to others.,2021-10-31 09:57:59,8,Neutral,0.3160764,0.5635228,0.12040074
221,Blaming myself for not being good enough,2021-12-01 11:50:43,8,Neutral,0.96027476,0.037196822,0.0025283238
222,I could lose the respect of my coworkers ,2021-10-25 18:13:21,8,Neutral,0.014667514,0.5986783,0.3866543
223,I'm alone in a large group.,2021-12-06 03:04:42,8,Neutral,0.6587803,0.30911407,0.03210556
224,irritated,2022-04-15 12:02:56,8,Neutral,0.73696095,0.25009885,0.012940209
225,"If I don't get it done, I will let others down and be disappointed in myself.",2022-03-21 01:04:36,8,Neutral,0.65972984,0.3017451,0.038525064
226,I won't be successful.,2022-05-02 17:44:59,8,Neutral,0.92344177,0.07081413,0.005744108
227,angry,2022-03-14 05:02:17,8,Neutral,0.94515663,0.051318806,0.0035245477
228,annoyed,2021-12-14 04:40:13,8,Neutral,0.90968543,0.086648025,0.0036665127
229,I won't have as many friends and people won't like me.,2022-01-19 09:14:58,8,Neutral,0.21623395,0.7427086,0.041057456
230,It would mean nobody wants to be around me.,2022-05-13 08:23:13,8,Neutral,0.00834108,0.33369705,0.65796185
231,I will be alone,2022-01-27 00:48:01,8,Neutral,0.9499818,0.0470996,0.0029186483
232,"My mother berated me for not calling her in the past month. She was confused, and had forgotten I called her a week prior.",2022-04-01 11:26:35,8,Neutral,0.012808125,0.45939177,0.52780014
233,I forgot to order products for the store I work at that are selling very well.,2022-01-07 08:46:25,8,Neutral,0.47476545,0.4743436,0.050891005
234,Irritated,2021-11-16 08:57:01,8,Neutral,0.8175986,0.17364042,0.0087610595
235,It would mean that I missed a good opportunity.,2022-05-17 12:56:48,8,Neutral,0.24546018,0.56143975,0.19310005
236,That I will never get to experience the many things that I want to during my life (due to monetary restrictions).,2022-03-20 12:57:31,8,Neutral,0.0724964,0.637211,0.29029256
237,My family is upset because I delayed their visit.,2021-12-31 03:52:52,8,Neutral,0.54851264,0.4146356,0.036851782
238,They didn't believe in me enough to train and help me like they should have.,2022-07-05 12:25:09,8,Neutral,0.93241817,0.06475142,0.00283043
239,There are lots of things we need to finish today,2022-07-11 08:14:53,8,Neutral,0.8876426,0.09820561,0.014151769
240,I'm a loser,2022-01-11 12:56:17,8,Neutral,0.12282668,0.76636106,0.11081226
241,We will end up fighting.,2022-02-28 14:40:54,8,Neutral,0.8665092,0.124152765,0.009338035
242,I could loose friends or acquaintances.,2022-02-04 22:08:30,8,Neutral,0.9518075,0.04442535,0.0037670948
243,My spouse / lover has left me a note saying she is leaving me,2022-05-31 11:03:21,8,Neutral,0.6441569,0.32444993,0.03139322
244,I see someone I like across the street. I wave but they ignore me.,2022-07-23 05:45:32,8,Neutral,0.734619,0.23595099,0.029430011
245,Regret,2022-05-25 22:49:50,8,Neutral,0.92257434,0.07320709,0.0042185634
246,I will have no room for promotion,2022-01-24 08:35:01,8,Neutral,0.026718793,0.774559,0.19872224
247,"Investigate the details of the diet and see how it affects the body, at the molecular level.",2022-06-12 17:36:04,8,Neutral,0.18826784,0.6392122,0.1725199
248,To avoid this company in the future.,2021-11-02 03:36:33,8,Neutral,0.822373,0.16945174,0.008175271
249,Because I worked hard to avoid this situation,2022-04-10 00:17:58,8,Neutral,0.7510865,0.2330797,0.015833829
250,I tried multiple diets and I didn't succeed to lose weight. I gain one pound with the lastest diet,2021-12-16 03:18:34,8,Neutral,0.9187503,0.077175535,0.004074135
251,i enjoy spending time with them,2021-11-19 09:45:55,8,Neutral,0.74527425,0.24283361,0.011892129
252,I will have to move in with my mother.,2022-01-26 21:38:04,8,Neutral,0.016051756,0.41331053,0.5706377
253,my family and works are my two eyes.,2021-09-20 16:34:06,8,Neutral,0.7989659,0.18672012,0.014314029
254,embarrassed ,2022-06-18 11:35:21,8,Neutral,0.00759337,0.32952353,0.6628831
255,Disappointed,2022-04-03 15:03:45,8,Neutral,0.743616,0.22461607,0.03176799
256,I would make sure to thank her.,2022-03-27 12:26:35,8,Neutral,0.66168356,0.306486,0.03183046
257,Find other ways to stimulate my brain so the creativity naturally happens.,2022-06-19 17:01:07,8,Neutral,0.5239428,0.4508007,0.025256488
258,Keep dieting for another week and check again.,2022-02-02 22:38:20,8,Neutral,0.8956383,0.09961451,0.004747218
259,My coworker doesn't like me,2021-09-28 22:04:28,8,Neutral,0.88364834,0.10728011,0.00907158
260,"Your friend bought a ticket to go to a concert in another state. She asked if you would purchase a ticket too, which caused you to snappily tell her that you cannot afford it because of responsibilities unlike her.",2021-11-21 16:02:01,8,Neutral,0.02023909,0.34599626,0.6337646
261,sadness,2021-09-20 20:25:32,8,Neutral,0.6989043,0.26401702,0.037078775
262,Hopeless,2022-02-22 05:22:41,8,Neutral,0.8951036,0.09807087,0.006825537
263,Rearrange my schedule. ,2022-05-11 13:32:53,8,Neutral,0.13861322,0.5701485,0.29123822
264,I won't be able to attract a mate I want.,2021-11-20 01:26:05,8,Neutral,0.94409096,0.052112553,0.0037964277
265,it was our fault that the policy lapsed,2021-12-21 03:02:10,8,Neutral,0.9580271,0.038072787,0.003900145
266,frustrated,2022-01-12 22:40:13,8,Neutral,0.79415756,0.17766057,0.028181871
267,I think it would be a bad way to continue with the diet again.,2022-03-08 10:18:25,8,Neutral,0.83470786,0.15505867,0.010233532
268,You are a selfish ass to have done this to me,2022-01-31 11:10:32,8,Neutral,0.7266883,0.25128105,0.02203063
269,"Once again, this is a scenario I can't really control.  I did my best, and whether the other person liked it or not is up to them.  Since I'm rather introverted anyway, I wouldn't be randomly talking with people at a party.  The way it was described seems the most awkward.  People are having fun around you and you walk up to someone with something you have no idea if they'd be interested in.  Someone like me would scope out people and their personalities prior or wait for an opportunity to fit my way into the conversation.  If I only did know my friend as well, chances are I'd hang with him when possible and he'd help me meet up with people.",2021-11-23 11:50:04,8,Neutral,0.8419006,0.14321719,0.014882275
270,I must not be good at persuading people.,2021-11-22 11:08:19,8,Neutral,0.28620505,0.57106185,0.14273313
271,Try to concentrate and think of something to write.,2022-07-28 00:47:28,8,Neutral,0.7141679,0.27141467,0.014417399
272,I should have listened more to what he had to say and tried to be better,2021-11-14 21:33:00,8,Neutral,0.2154033,0.6630952,0.12150158
273,The position is filled before I have a chance.,2022-01-28 21:28:29,8,Neutral,0.01742224,0.20589612,0.7766816
274,anger,2022-05-02 11:14:17,8,Neutral,0.5813285,0.382689,0.035982527
275,Get right back to work on the items due.,2022-05-28 21:42:49,8,Neutral,0.4336039,0.5433205,0.02307565
276,I have to use my time again to repair the damage caused,2021-12-31 17:07:50,8,Neutral,0.9065903,0.08375858,0.009651146
277,I would ask why everyone left without saying anything.,2022-06-08 07:38:22,8,Neutral,0.587077,0.40277675,0.010146204
278,"Significant other is leaving me, cleaned all of their belongings out of the house.",2022-05-26 09:37:25,8,Neutral,0.8951347,0.09938552,0.0054797856
279,He doesn't think that I'm capable of watching the kids and cleaning the kitchen at the same time.,2021-12-27 00:35:44,8,Neutral,0.23997952,0.73203915,0.027981302
280,Move on or try to,2022-05-01 11:00:09,8,Neutral,0.40182015,0.55967474,0.038505077
281,"I really have to pass, I need to work.",2022-05-06 03:48:56,8,Neutral,0.4543477,0.47871837,0.06693393
282,My boss reminded me of some work I had to finish up. ,2021-09-15 04:33:37,8,Neutral,0.0064615663,0.15688331,0.83665514
283,I'd show more signs of not wanting to do anything purely out of fear.,2021-09-09 02:04:23,8,Neutral,0.95341647,0.041296694,0.0052868812
284,I think being rejected is always a blow to my pride and I don't like the way it makes me feel.,2022-07-12 04:16:53,8,Neutral,0.10086717,0.46947512,0.42965773
285,It would mean I was having to work I was not paid for and this would panic me because I cannot afford to do that. ,2022-05-08 01:03:01,8,Neutral,0.7950007,0.18672034,0.018278982
286,I am unable to land the jobs that I put in for.,2022-01-25 17:15:20,8,Neutral,0.90681696,0.08818187,0.005001165
287,My salary will not be increased next year.,2022-03-18 06:48:26,8,Neutral,0.014690135,0.20906872,0.7762411
288,Did I do something wrong?,2021-10-22 14:50:22,8,Neutral,0.9701595,0.02790133,0.0019392552
289,worried,2022-06-09 03:45:11,8,Neutral,0.77359766,0.20160803,0.02479438
290,I was dog sitting for my sister. The dog ate xylitol and it could cause damage to the dog. I quickly called the vet and had to make the dog throw up. Blood tests indicate that the dog will be fine. ,2022-08-05 07:02:04,8,Neutral,0.5813285,0.382689,0.035982527
291,I could lose my house and end up homeless. ,2021-10-20 23:16:35,8,Neutral,0.7575379,0.2334898,0.008972311
292,i am not intelligent enough to do this task,2021-12-28 16:03:21,8,Neutral,0.7550744,0.23603123,0.008894464
293,I would most likely try to rationalize things as best I can.,2022-04-23 01:43:25,8,Neutral,0.25300846,0.68671906,0.06027242
294,I've been working selling cars for just six months. I was not able to meet the quota and was fired subsequently.,2022-06-17 21:10:32,8,Neutral,0.6641643,0.31179032,0.024045387
295,"Even  though I am saddened, I will move on with my life and not let it affect me.",2022-03-06 09:41:49,8,Neutral,0.7439372,0.22830562,0.027757155
296,I will die alone.,2022-07-03 13:33:54,8,Neutral,0.060433764,0.42593315,0.5136331
297,Frustrated,2022-04-25 00:21:54,8,Neutral,0.8612861,0.119869374,0.018844511
298,It means that I am perceptive. It means I should have done something about the situation instead of just letting it play out.,2022-03-07 22:02:48,8,Neutral,0.83195126,0.15496303,0.013085734
299,spouse has left a note that they are leaving me,2022-05-26 12:40:47,8,Neutral,0.27501357,0.41306898,0.3119174
300,anger,2022-03-07 12:02:13,8,Neutral,0.5813285,0.382689,0.035982527
301,"I am quite fond of a coworker and decide to talk to them. I offer up the idea that it might be fun to go out together sometime, and they respond with the fact they are too busy.",2022-01-12 15:53:45,8,Neutral,0.43220416,0.54787326,0.019922595
302,It says I am way too trusting.,2022-01-22 10:58:51,8,Neutral,0.52237475,0.42930472,0.048320524
303,it means that we couldn't go further in our relationship and possibly find love.  ,2022-08-13 16:08:21,8,Neutral,0.8642991,0.116321795,0.019379113
304,I might have to declare bankruptcy.,2022-08-26 00:57:04,8,Neutral,0.9528096,0.04335004,0.003840355
305,I will not earn a recommendation from the sponsor to assist me in obtaining a job.,2022-03-27 15:50:01,8,Neutral,0.54965705,0.3504651,0.09987787
306,Try a different diet,2022-04-30 01:06:03,8,Neutral,0.89046013,0.100952476,0.008587457
307,I was on a coffee break when my boss stopped by to remind me of work that I had to do ,2021-12-22 12:58:29,8,Neutral,0.10128809,0.68107927,0.2176326
308,"No matter how hard I try, I will never be able to lose weight. ",2022-02-10 20:00:07,8,Neutral,0.69911236,0.26988634,0.031001316
309,"If this continues, this person may cause a lot of stress down the road.",2021-10-14 02:27:22,8,Neutral,0.95346445,0.04428452,0.0022510893
310,misunderstandng,2022-06-17 12:59:08,8,Neutral,0.65105623,0.28964084,0.05930299
311,Try and practice my singing more.,2022-05-05 03:03:35,8,Neutral,0.05201044,0.8679606,0.080029026
312,mad,2022-06-01 03:45:18,8,Neutral,0.80992925,0.17227456,0.017796217
313,I am at a party were I only know the host and I try to make a conversation that doesn't go to well.,2021-12-05 21:14:44,8,Neutral,0.9155101,0.07885565,0.0056341975
314,guilty,2021-10-04 10:55:29,8,Neutral,0.8013362,0.18555,0.0131137995
315,I like them and the feelings aren't reciprocated,2022-05-07 10:08:13,8,Neutral,0.9448976,0.051874384,0.0032280115
316,Try harder to stick to the diet,2022-05-22 14:42:25,8,Neutral,0.8419006,0.14321719,0.014882275
317,flabbergasted,2021-09-27 06:27:42,8,Neutral,0.51918596,0.44798958,0.032824423
318,I was passed up for something potentially great ,2022-03-01 07:27:02,8,Neutral,0.009231634,0.4723625,0.5184059
319,I failed at doing my job,2022-05-11 02:45:26,8,Neutral,0.92091477,0.07605079,0.0030344892
320,Procrastinate and eventually stay up at night writing the essay. ,2022-08-28 19:58:10,8,Neutral,0.76783866,0.22144242,0.010718981
321,I was at my Moms house today and we were talking about my job. She was shocked that I had been there for 15 years. She felt that it wasn't a good enough job. We were talking in the living room. She gasped as if that was insane.,2022-05-09 11:09:06,8,Neutral,0.82035786,0.17104805,0.008594096
322,Family can not visit because i can not find the time for them,2022-06-25 17:12:48,8,Neutral,0.8254528,0.15029716,0.02424999
323,"I would schedule a time to meet the student to review the material, and try to explain things differently so they can understand it.",2022-02-20 15:12:24,8,Neutral,0.9045516,0.08718228,0.00826611
324,It would mean Im not a good person,2022-06-25 19:47:36,8,Neutral,0.8665406,0.12432642,0.009132909
325,I'm not good enough yet,2021-10-14 11:59:36,8,Neutral,0.04115717,0.6478011,0.31104177
326,I'd never be able to support myself.,2021-09-19 21:52:41,8,Neutral,0.68150055,0.30053902,0.017960357
327,"put it into perspective, this happens to people all the time",2022-08-02 04:32:54,8,Neutral,0.9635154,0.03360313,0.002881469
328,My partner has packed up their belongings and left nothing more than a note about their choice behind.,2021-11-27 21:29:40,8,Neutral,0.8794444,0.10709688,0.013458688
329,Because it's my family and I want them to be happy at all times. I love my family.,2021-11-05 18:48:08,8,Neutral,0.3616953,0.60353625,0.03476844
330,"Try to control my emotions, cut my break short, and ensure that everything gets done on time",2021-11-07 20:56:33,8,Neutral,0.90790105,0.08640652,0.005692444
331,There's nothing I can do about it.,2022-07-18 23:34:49,8,Neutral,0.86304116,0.12863849,0.008320359
332,I would have lost a friend.,2022-01-02 14:27:32,8,Neutral,0.69418025,0.28290942,0.02291036
333,i hurt my family ,2022-05-04 13:25:35,8,Neutral,0.7663483,0.21781002,0.015841642
334,"I see an acquaintance I like out in public.  I wave, but they don't respond.",2022-07-12 10:06:36,8,Neutral,0.83648396,0.15751234,0.006003771
